Label,Value
1999 Jan,7.4
1999 Feb,7.2
1999 Mar,7
1999 Apr,6.9
1999 May,6.8
1999 Jun,6.7
1999 Jul,6.5
1999 Aug,6.4
1999 Sep,6.2
1999 Oct,6.1
1999 Nov,5.9
1999 Dec,5.8
2000 Jan,5.7
2000 Feb,5.7
2000 Mar,5.7
2000 Apr,5.6
2000 May,5.6
2000 Jun,5.6
2000 Jul,5.6
2000 Aug,5.7
2000 Sep,5.7
2000 Oct,5.7
2000 Nov,5.8
2000 Dec,5.9
2001 Jan,5.9
2001 Feb,6
2001 Mar,6.1
2001 Apr,6.1
2001 May,6.2
2001 Jun,6.3
2001 Jul,6.4
2001 Aug,6.6
2001 Sep,6.8
2001 Oct,7
2001 Nov,7.1
2001 Dec,7.1
2002 Jan,7.2
2002 Feb,7.2
2002 Mar,7.1
2002 Apr,7.1
2002 May,7
2002 Jun,7
2002 Jul,6.9
2002 Aug,6.8
2002 Sep,6.8
2002 Oct,6.8
2002 Nov,6.9
2002 Dec,7
2003 Jan,7
2003 Feb,7.1
2003 Mar,7.2
2003 Apr,7.3
2003 May,7.3
2003 Jun,7.4
2003 Jul,7.4
2003 Aug,7.4
2003 Sep,7.3
2003 Oct,7.3
2003 Nov,7.3
2003 Dec,7.3
2004 Jan,7.4
2004 Feb,7.6
2004 Mar,7.8
2004 Apr,7.9
2004 May,8.1
2004 Jun,8.2
2004 Jul,8.3
2004 Aug,8.4
2004 Sep,8.4
2004 Oct,8.4
2004 Nov,8.3
2004 Dec,8.2
2005 Jan,8.1
2005 Feb,7.9
2005 Mar,7.7
2005 Apr,7.5
2005 May,7.2
2005 Jun,7
2005 Jul,6.7
2005 Aug,6.6
2005 Sep,6.4
2005 Oct,6.3
2005 Nov,6.3
2005 Dec,6.2
2006 Jan,6.2
2006 Feb,6.2
2006 Mar,6.3
2006 Apr,6.3
2006 May,6.4
2006 Jun,6.4
2006 Jul,6.4
2006 Aug,6.4
2006 Sep,6.4
2006 Oct,6.4
2006 Nov,6.3
2006 Dec,6.2
2007 Jan,6.1
2007 Feb,6.1
2007 Mar,6
2007 Apr,5.9
2007 May,5.9
2007 Jun,5.9
2007 Jul,5.9
2007 Aug,5.9
2007 Sep,5.9
2007 Oct,5.9
2007 Nov,5.9
2007 Dec,6
2008 Jan,6
2008 Feb,6.1
2008 Mar,6.2
2008 Apr,6.3
2008 May,6.4
2008 Jun,6.6
2008 Jul,6.8
2008 Aug,7
2008 Sep,7.2
2008 Oct,7.5
2008 Nov,7.9
2008 Dec,8.2
2009 Jan,8.7
2009 Feb,9
2009 Mar,9.4
2009 Apr,9.7
2009 May,9.9
2009 Jun,10.1
2009 Jul,10.3
2009 Aug,10.5
2009 Sep,10.6
2009 Oct,10.6
2009 Nov,10.6
2009 Dec,10.6
2010 Jan,10.5
2010 Feb,10.3
2010 Mar,10.2
2010 Apr,10
2010 May,9.8
2010 Jun,9.7
2010 Jul,9.7
2010 Aug,9.7
2010 Sep,9.8
2010 Oct,9.9
2010 Nov,9.9
2010 Dec,9.9
2011 Jan,10
2011 Feb,10
2011 Mar,10.1
2011 Apr,10.3
2011 May,10.4
2011 Jun,10.5
2011 Jul,10.5
2011 Aug,10.4
2011 Sep,10.3
2011 Oct,10.1
2011 Nov,9.9
2011 Dec,9.8
2012 Jan,9.6
2012 Feb,9.5
2012 Mar,9.3
2012 Apr,9.2
2012 May,9.1
2012 Jun,9
2012 Jul,8.8
2012 Aug,8.7
2012 Sep,8.6
2012 Oct,8.6
2012 Nov,8.6
2012 Dec,8.7
2013 Jan,8.7
2013 Feb,8.7
2013 Mar,8.7
2013 Apr,8.6
2013 May,8.5
2013 Jun,8.5
2013 Jul,8.5
2013 Aug,8.4
2013 Sep,8.3
2013 Oct,8.2
2013 Nov,8.1
2013 Dec,8
2014 Jan,7.9
2014 Feb,7.9
2014 Mar,7.8
2014 Apr,7.8
2014 May,7.8
2014 Jun,7.8
2014 Jul,7.7
2014 Aug,7.7
2014 Sep,7.6
2014 Oct,7.6
2014 Nov,7.5
2014 Dec,7.4
2015 Jan,7.4
2015 Feb,7.3
2015 Mar,7.2
2015 Apr,7.2
2015 May,7
2015 Jun,6.9
2015 Jul,6.8
2015 Aug,6.8
2015 Sep,6.7
2015 Oct,6.6
2015 Nov,6.6
2015 Dec,6.5
2016 Jan,6.4
2016 Feb,6.3
2016 Mar,6.2
2016 Apr,6.1
2016 May,6.1
2016 Jun,6.1
2016 Jul,6.2
2016 Aug,6.2
2016 Sep,6.3
2016 Oct,6.3
2016 Nov,6.3
2016 Dec,6.3
2017 Jan,6.3
2017 Feb,6.2
2017 Mar,6.2
2017 Apr,6.2
2017 May,6.2
2017 Jun,6.1
2017 Jul,6.1
2017 Aug,6.1
2017 Sep,6
2017 Oct,6
2017 Nov,5.9
2017 Dec,5.9
2018 Jan,5.9
2018 Feb,5.8
2018 Mar,5.8
2018 Apr,5.8
2018 May,5.7
2018 Jun,5.6
2018 Jul,5.5
2018 Aug,5.5
2018 Sep,5.5
2018 Oct,5.6
2018 Nov,5.7
2018 Dec,5.8
2019 Jan,5.9
2019 Feb,5.9
2019 Mar,5.8
2019 Apr,5.7
2019 May,5.6
2019 Jun,5.4
2019 Jul,5.4
2019 Aug,5.3
2019 Sep,5.2
2019 Oct,5.2
2019 Nov,5.2
2019 Dec,5.4
2020 Jan,5.5
2020 Feb,5.7
2020 Mar,5.8
2020 Apr,11.2
2020 May,8.8
2020 Jun,8.6
2020 Jul,8.6
2020 Aug,8.4
2020 Sep,8.4
2020 Oct,8.1
2020 Nov,7.9
2020 Dec,7.7
2021 Jan,7.3
2021 Feb,7.1
2021 Mar,7
2021 Apr,7.1
2021 May,7.1
2021 Jun,7.3
2021 Jul,7.1
2021 Aug,7
2021 Sep,6.6
2021 Oct,6.5
2021 Nov,6.3
2021 Dec,6.1
2022 Jan,6
2022 Feb,5.6
2022 Mar,5.2
2022 Apr,4.9
2022 May,4.7
2022 Jun,4.4
2022 Jul,4.2
2022 Aug,4
2022 Sep,4.2
2022 Oct,4.4
2022 Nov,4.6
2022 Dec,4.8
2023 Jan,4.9
2023 Feb,5
2023 Mar,5
2023 Apr,4.9
2023 May,4.8
2023 Jun,4.8
2023 Jul,4.7
2023 Aug,4.8
2023 Sep,4.9
2023 Oct,4.9
2023 Nov,4.9
2023 Dec,4.9
2024 Jan,5
2024 Feb,5.1
2024 Mar,5.2
2024 Apr,5.2
2024 May,5.3
2024 Jun,5.4
2024 Jul,5.5
2024 Aug,5.7
2024 Sep,5.7
2024 Oct,5.7
2024 Nov,5.6
2024 Dec,5.5
